clid,CellLineName,Tissue,parental_identifier,subtype,ReferenceDivisionTime
SNU398_LIVER,SNU398_LIVER,Liver,unknown,unknown,
NCIH1651_LUNG,NCIH1651_LUNG,Lung,unknown,unknown,
KYSE150_OESOPHAGUS,KYSE150_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
HCC78_LUNG,HCC78_LUNG,Lung,unknown,unknown,
LK2_LUNG,LK2_LUNG,Lung,unknown,unknown,
SW780_URINARY_TRACT,SW780_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
TE4_OESOPHAGUS,TE4_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
RKN_SOFT_TISSUE,RKN_SOFT_TISSUE,Soft Tissue,unknown,unknown,
WM983B_SKIN,WM983B_SKIN,Skin,unknown,unknown,
KNS62_LUNG,KNS62_LUNG,Lung,unknown,unknown,
LN229_CENTRAL_NERVOUS_SYSTEM,LN229_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
A673_BONE,A673_BONE,Bone,unknown,unknown,
DU145_PROSTATE,DU145_PROSTATE,Prostate,unknown,unknown,
PSN1_PANCREAS,PSN1_PANCREAS,Pancreas,unknown,unknown,
T98G_CENTRAL_NERVOUS_SYSTEM,T98G_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
COLO783_SKIN,COLO783_SKIN,Skin,unknown,unknown,
HCC1438_LUNG,HCC1438_LUNG,Lung,unknown,unknown,
HCC44_LUNG,HCC44_LUNG,Lung,unknown,unknown,
JHH5_LIVER,JHH5_LIVER,Liver,unknown,unknown,
NCIH838_LUNG,NCIH838_LUNG,Lung,unknown,unknown,
BFTC905_URINARY_TRACT,BFTC905_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
HEC265_ENDOMETRIUM,HEC265_ENDOMETRIUM,Uterus,unknown,unknown,
HSC2_UPPER_AERODIGESTIVE_TRACT,HSC2_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
OC314_OVARY,OC314_OVARY,Ovary/Fallopian Tube,unknown,unknown,
GI1_CENTRAL_NERVOUS_SYSTEM,GI1_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
OC316_OVARY,OC316_OVARY,Ovary/Fallopian Tube,unknown,unknown,
OE33_OESOPHAGUS,OE33_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
FADU_UPPER_AERODIGESTIVE_TRACT,FADU_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
MG63_BONE,MG63_BONE,Bone,unknown,unknown,
NB1_AUTONOMIC_GANGLIA,NB1_AUTONOMIC_GANGLIA,Peripheral Nervous System,unknown,unknown,
SF126_CENTRAL_NERVOUS_SYSTEM,SF126_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
SNU1066_UPPER_AERODIGESTIVE_TRACT,SNU1066_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
CAL120_BREAST,CAL120_BREAST,Breast,unknown,unknown,
LXF289_LUNG,LXF289_LUNG,Lung,unknown,unknown,
MEWO_SKIN,MEWO_SKIN,Skin,unknown,unknown,
SNGM_ENDOMETRIUM,SNGM_ENDOMETRIUM,Uterus,unknown,unknown,
CAL27_UPPER_AERODIGESTIVE_TRACT,CAL27_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
TT_OESOPHAGUS,TT_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
ECGI10_OESOPHAGUS,ECGI10_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
JMSU1_URINARY_TRACT,JMSU1_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
CFPAC1_PANCREAS,CFPAC1_PANCREAS,Pancreas,unknown,unknown,
ACHN_KIDNEY,ACHN_KIDNEY,Kidney,unknown,unknown,
CAL51_BREAST,CAL51_BREAST,Breast,unknown,unknown,
HCC15_LUNG,HCC15_LUNG,Lung,unknown,unknown,
KMRC20_KIDNEY,KMRC20_KIDNEY,Kidney,unknown,unknown,
A172_CENTRAL_NERVOUS_SYSTEM,A172_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
NCIH1648_LUNG,NCIH1648_LUNG,Lung,unknown,unknown,
K029AX_SKIN,K029AX_SKIN,Skin,unknown,unknown,
T3M10_LUNG,T3M10_LUNG,Lung,unknown,unknown,
NCIH2122_LUNG,NCIH2122_LUNG,Lung,unknown,unknown,
HCC95_LUNG,HCC95_LUNG,Lung,unknown,unknown,
TE11_OESOPHAGUS,TE11_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
MDAMB468_BREAST,MDAMB468_BREAST,Breast,unknown,unknown,
HCC1195_LUNG,HCC1195_LUNG,Lung,unknown,unknown,
EN_ENDOMETRIUM,EN_ENDOMETRIUM,Uterus,unknown,unknown,
TE5_OESOPHAGUS,TE5_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
SNU668_STOMACH,SNU668_STOMACH,Esophagus/Stomach,unknown,unknown,
CORL105_LUNG,CORL105_LUNG,Lung,unknown,unknown,
GCT_SOFT_TISSUE,GCT_SOFT_TISSUE,Soft Tissue,unknown,unknown,
LN18_CENTRAL_NERVOUS_SYSTEM,LN18_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
RERFLCMS_LUNG,RERFLCMS_LUNG,Lung,unknown,unknown,
RT112_URINARY_TRACT,RT112_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
BC3C_URINARY_TRACT,BC3C_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
LOUNH91_LUNG,LOUNH91_LUNG,Lung,unknown,unknown,
KNS60_CENTRAL_NERVOUS_SYSTEM,KNS60_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
ISTMES2_PLEURA,ISTMES2_PLEURA,Pleura,unknown,unknown,
SW579_THYROID,SW579_THYROID,Head and Neck,unknown,unknown,
MDAMB231_BREAST,MDAMB231_BREAST,Breast,unknown,unknown,
HSC3_UPPER_AERODIGESTIVE_TRACT,HSC3_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
MELJUSO_SKIN,MELJUSO_SKIN,Skin,unknown,unknown,
OVCAR8_OVARY,OVCAR8_OVARY,Ovary/Fallopian Tube,unknown,unknown,
PC14_LUNG,PC14_LUNG,Lung,unknown,unknown,
HEC151_ENDOMETRIUM,HEC151_ENDOMETRIUM,Uterus,unknown,unknown,
RT4_URINARY_TRACT,RT4_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
SKES1_BONE,SKES1_BONE,Bone,unknown,unknown,
HT55_LARGE_INTESTINE,HT55_LARGE_INTESTINE,Bowel,unknown,unknown,
MKN45_STOMACH,MKN45_STOMACH,Esophagus/Stomach,unknown,unknown,
HEP3B217_LIVER,HEP3B217_LIVER,Liver,unknown,unknown,
HOS_BONE,HOS_BONE,Bone,unknown,unknown,
HUCCT1_BILIARY_TRACT,HUCCT1_BILIARY_TRACT,Biliary Tract,unknown,unknown,
NCIH292_LUNG,NCIH292_LUNG,Lung,unknown,unknown,
HS944T_SKIN,HS944T_SKIN,Skin,unknown,unknown,
RERFLCAI_LUNG,RERFLCAI_LUNG,Lung,unknown,unknown,
LS180_LARGE_INTESTINE,LS180_LARGE_INTESTINE,Bowel,unknown,unknown,
SIMA_AUTONOMIC_GANGLIA,SIMA_AUTONOMIC_GANGLIA,Peripheral Nervous System,unknown,unknown,
CAMA1_BREAST,CAMA1_BREAST,Breast,unknown,unknown,
MDAMB436_BREAST,MDAMB436_BREAST,Breast,unknown,unknown,
NCIH1435_LUNG,NCIH1435_LUNG,Lung,unknown,unknown,
SNU1196_BILIARY_TRACT,SNU1196_BILIARY_TRACT,Biliary Tract,unknown,unknown,
SNU449_LIVER,SNU449_LIVER,Liver,unknown,unknown,
TE9_OESOPHAGUS,TE9_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
ABC1_LUNG,ABC1_LUNG,Lung,unknown,unknown,
NCIH1373_LUNG,NCIH1373_LUNG,Lung,unknown,unknown,
EBC1_LUNG,EBC1_LUNG,Lung,unknown,unknown,
SKMES1_LUNG,SKMES1_LUNG,Lung,unknown,unknown,
HCC56_LARGE_INTESTINE,HCC56_LARGE_INTESTINE,Bowel,unknown,unknown,
OUMS23_LARGE_INTESTINE,OUMS23_LARGE_INTESTINE,Bowel,unknown,unknown,
DETROIT562_UPPER_AERODIGESTIVE_TRACT,DETROIT562_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
PECAPJ49_UPPER_AERODIGESTIVE_TRACT,PECAPJ49_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
SW1088_CENTRAL_NERVOUS_SYSTEM,SW1088_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
BCPAP_THYROID,BCPAP_THYROID,Thyroid,unknown,unknown,
NCIH2023_LUNG,NCIH2023_LUNG,Lung,unknown,unknown,
HDQP1_BREAST,HDQP1_BREAST,Breast,unknown,unknown,
RH30_SOFT_TISSUE,RH30_SOFT_TISSUE,Soft Tissue,unknown,unknown,
BICR56_UPPER_AERODIGESTIVE_TRACT,BICR56_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
OSRC2_KIDNEY,OSRC2_KIDNEY,Kidney,unknown,unknown,
2313287_STOMACH,2313287_STOMACH,Esophagus/Stomach,unknown,unknown,
NCIH2170_LUNG,NCIH2170_LUNG,Lung,unknown,unknown,
HCC1428_BREAST,HCC1428_BREAST,Breast,unknown,unknown,
NCIH650_LUNG,NCIH650_LUNG,Lung,unknown,unknown,
NCIH2110_LUNG,NCIH2110_LUNG,Lung,unknown,unknown,
A549_LUNG,A549_LUNG,Lung,unknown,unknown,
8MGBA_CENTRAL_NERVOUS_SYSTEM,8MGBA_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
RERFLCKJ_LUNG,RERFLCKJ_LUNG,Lung,unknown,unknown,
PANC0403_PANCREAS,PANC0403_PANCREAS,Pancreas,unknown,unknown,
NCIH23_LUNG,NCIH23_LUNG,Lung,unknown,unknown,
NUGC3_STOMACH,NUGC3_STOMACH,Esophagus/Stomach,unknown,unknown,
KNS81_CENTRAL_NERVOUS_SYSTEM,KNS81_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
MPP89_PLEURA,MPP89_PLEURA,Pleura,unknown,unknown,
COLO800_SKIN,COLO800_SKIN,Skin,unknown,unknown,
IPC298_SKIN,IPC298_SKIN,Skin,unknown,unknown,
GP2D_LARGE_INTESTINE,GP2D_LARGE_INTESTINE,Bowel,unknown,unknown,
OE21_OESOPHAGUS,OE21_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
KYSE140_OESOPHAGUS,KYSE140_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
NCIH1693_LUNG,NCIH1693_LUNG,Lung,unknown,unknown,
GCIY_STOMACH,GCIY_STOMACH,Esophagus/Stomach,unknown,unknown,
NCIH2452_PLEURA,NCIH2452_PLEURA,Pleura,unknown,unknown,
SW1271_LUNG,SW1271_LUNG,Lung,unknown,unknown,
SNU213_PANCREAS,SNU213_PANCREAS,Pancreas,unknown,unknown,
HT1376_URINARY_TRACT,HT1376_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
KNS42_CENTRAL_NERVOUS_SYSTEM,KNS42_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
NCIH446_LUNG,NCIH446_LUNG,Lung,unknown,unknown,
WM88_SKIN,WM88_SKIN,Skin,unknown,unknown,
COLO741_SKIN,COLO741_SKIN,Skin,unknown,unknown,
HEC108_ENDOMETRIUM,HEC108_ENDOMETRIUM,Uterus,unknown,unknown,
MCF7_BREAST,MCF7_BREAST,Breast,unknown,unknown,
SKNAS_AUTONOMIC_GANGLIA,SKNAS_AUTONOMIC_GANGLIA,Peripheral Nervous System,unknown,unknown,
SF539_CENTRAL_NERVOUS_SYSTEM,SF539_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
TM31_CENTRAL_NERVOUS_SYSTEM,TM31_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
JHH7_LIVER,JHH7_LIVER,Liver,unknown,unknown,
NCIH2126_LUNG,NCIH2126_LUNG,Lung,unknown,unknown,
MFE319_ENDOMETRIUM,MFE319_ENDOMETRIUM,Uterus,unknown,unknown,
NCIH747_LARGE_INTESTINE,NCIH747_LARGE_INTESTINE,Bowel,unknown,unknown,
YD8_UPPER_AERODIGESTIVE_TRACT,YD8_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
SNU308_BILIARY_TRACT,SNU308_BILIARY_TRACT,Biliary Tract,unknown,unknown,
HUH28_BILIARY_TRACT,HUH28_BILIARY_TRACT,Biliary Tract,unknown,unknown,
U118MG_CENTRAL_NERVOUS_SYSTEM,U118MG_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
SNU1214_UPPER_AERODIGESTIVE_TRACT,SNU1214_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
NCIH2228_LUNG,NCIH2228_LUNG,Lung,unknown,unknown,
NCIH2444_LUNG,NCIH2444_LUNG,Lung,unknown,unknown,
HEC6_ENDOMETRIUM,HEC6_ENDOMETRIUM,Uterus,unknown,unknown,
TE10_OESOPHAGUS,TE10_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
UACC257_SKIN,UACC257_SKIN,Skin,unknown,unknown,
8305C_THYROID,8305C_THYROID,Thyroid,unknown,unknown,
IM95_STOMACH,IM95_STOMACH,Esophagus/Stomach,unknown,unknown,
TE14_OESOPHAGUS,TE14_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
SCC25_UPPER_AERODIGESTIVE_TRACT,SCC25_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
BICR16_UPPER_AERODIGESTIVE_TRACT,BICR16_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
ONCODG1_OVARY,ONCODG1_OVARY,Ovary/Fallopian Tube,unknown,unknown,
SKMEL5_SKIN,SKMEL5_SKIN,Skin,unknown,unknown,
ASPC1_PANCREAS,ASPC1_PANCREAS,Pancreas,unknown,unknown,
SNU46_UPPER_AERODIGESTIVE_TRACT,SNU46_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
769P_KIDNEY,769P_KIDNEY,Kidney,unknown,unknown,
NCIH841_LUNG,NCIH841_LUNG,Lung,unknown,unknown,
SKMEL24_SKIN,SKMEL24_SKIN,Skin,unknown,unknown,
SNU1041_UPPER_AERODIGESTIVE_TRACT,SNU1041_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
WM793_SKIN,WM793_SKIN,Skin,unknown,unknown,
COV362_OVARY,COV362_OVARY,Ovary/Fallopian Tube,unknown,unknown,
PANC0327_PANCREAS,PANC0327_PANCREAS,Pancreas,unknown,unknown,
UACC62_SKIN,UACC62_SKIN,Skin,unknown,unknown,
UBLC1_URINARY_TRACT,UBLC1_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
HCC1937_BREAST,HCC1937_BREAST,Breast,unknown,unknown,
MALME3M_SKIN,MALME3M_SKIN,Skin,unknown,unknown,
NCIH1915_LUNG,NCIH1915_LUNG,Lung,unknown,unknown,
CAPAN2_PANCREAS,CAPAN2_PANCREAS,Pancreas,unknown,unknown,
SNU719_STOMACH,SNU719_STOMACH,Esophagus/Stomach,unknown,unknown,
SNU869_BILIARY_TRACT,SNU869_BILIARY_TRACT,Ampulla of Vater,unknown,unknown,
CAL78_BONE,CAL78_BONE,Bone,unknown,unknown,
LU99_LUNG,LU99_LUNG,Lung,unknown,unknown,
NCIH1355_LUNG,NCIH1355_LUNG,Lung,unknown,unknown,
RMUGS_OVARY,RMUGS_OVARY,Ovary/Fallopian Tube,unknown,unknown,
S117_THYROID,S117_THYROID,Soft Tissue,unknown,unknown,
MDAMB435S_SKIN,MDAMB435S_SKIN,Skin,unknown,unknown,
HS294T_SKIN,HS294T_SKIN,Skin,unknown,unknown,
TCCPAN2_PANCREAS,TCCPAN2_PANCREAS,Pancreas,unknown,unknown,
SNB75_CENTRAL_NERVOUS_SYSTEM,SNB75_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
NCIH2009_LUNG,NCIH2009_LUNG,Lung,unknown,unknown,
HARA_LUNG,HARA_LUNG,Lung,unknown,unknown,
NCIH1650_LUNG,NCIH1650_LUNG,Lung,unknown,unknown,
DV90_LUNG,DV90_LUNG,Lung,unknown,unknown,
WM1799_SKIN,WM1799_SKIN,Skin,unknown,unknown,
WM2664_SKIN,WM2664_SKIN,Skin,unknown,unknown,
OVISE_OVARY,OVISE_OVARY,Ovary/Fallopian Tube,unknown,unknown,
HCC1143_BREAST,HCC1143_BREAST,Breast,unknown,unknown,
MHHES1_BONE,MHHES1_BONE,Bone,unknown,unknown,
SNU1105_CENTRAL_NERVOUS_SYSTEM,SNU1105_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
RCC10RGB_KIDNEY,RCC10RGB_KIDNEY,Kidney,unknown,unknown,
RERFLCAD1_LUNG,RERFLCAD1_LUNG,Lung,unknown,unknown,
NCIH226_LUNG,NCIH226_LUNG,Pleura,unknown,unknown,
SKMEL2_SKIN,SKMEL2_SKIN,Skin,unknown,unknown,
MELHO_SKIN,MELHO_SKIN,Skin,unknown,unknown,
DKMG_CENTRAL_NERVOUS_SYSTEM,DKMG_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
CAOV3_OVARY,CAOV3_OVARY,Ovary/Fallopian Tube,unknown,unknown,
IALM_LUNG,IALM_LUNG,Lung,unknown,unknown,
NCIH2347_LUNG,NCIH2347_LUNG,Lung,unknown,unknown,
SKMEL3_SKIN,SKMEL3_SKIN,Skin,unknown,unknown,
SQ1_LUNG,SQ1_LUNG,Lung,unknown,unknown,
UMUC1_URINARY_TRACT,UMUC1_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
LS1034_LARGE_INTESTINE,LS1034_LARGE_INTESTINE,Bowel,unknown,unknown,
COV434_OVARY,COV434_OVARY,Ovary/Fallopian Tube,unknown,unknown,
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
U251MG_CENTRAL_NERVOUS_SYSTEM,U251MG_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
COLO680N_OESOPHAGUS,COLO680N_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
SW900_LUNG,SW900_LUNG,Lung,unknown,unknown,
SH10TC_STOMACH,SH10TC_STOMACH,Esophagus/Stomach,unknown,unknown,
BICR6_UPPER_AERODIGESTIVE_TRACT,BICR6_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
BICR31_UPPER_AERODIGESTIVE_TRACT,BICR31_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
LNCAPCLONEFGC_PROSTATE,LNCAPCLONEFGC_PROSTATE,Prostate,unknown,unknown,
TEN_ENDOMETRIUM,TEN_ENDOMETRIUM,Uterus,unknown,unknown,
RCM1_LARGE_INTESTINE,RCM1_LARGE_INTESTINE,Bowel,unknown,unknown,
SNU1079_BILIARY_TRACT,SNU1079_BILIARY_TRACT,Biliary Tract,unknown,unknown,
JIMT1_BREAST,JIMT1_BREAST,Breast,unknown,unknown,
BT474_BREAST,BT474_BREAST,Breast,unknown,unknown,
EFO21_OVARY,EFO21_OVARY,Ovary/Fallopian Tube,unknown,unknown,
OV56_OVARY,OV56_OVARY,Ovary/Fallopian Tube,unknown,unknown,
MDAMB175VII_BREAST,MDAMB175VII_BREAST,Breast,unknown,unknown,
TT_THYROID,TT_THYROID,Thyroid,unknown,unknown,
PANC0813_PANCREAS,PANC0813_PANCREAS,Pancreas,unknown,unknown,
PANC1005_PANCREAS,PANC1005_PANCREAS,Pancreas,unknown,unknown,
TM87_SOFT_TISSUE,TM87_SOFT_TISSUE,Soft Tissue,unknown,unknown,
MON_SOFT_TISSUE,MON_SOFT_TISSUE,Soft Tissue,unknown,unknown,
NCIH1703_LUNG,NCIH1703_LUNG,Lung,unknown,unknown,
EWS502_BONE,EWS502_BONE,Bone,unknown,unknown,
KYSE410_OESOPHAGUS,KYSE410_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
HT144_SKIN,HT144_SKIN,Skin,unknown,unknown,
CAL29_URINARY_TRACT,CAL29_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
SNU601_STOMACH,SNU601_STOMACH,Esophagus/Stomach,unknown,unknown,
LS411N_LARGE_INTESTINE,LS411N_LARGE_INTESTINE,Bowel,unknown,unknown,
U2OS_BONE,U2OS_BONE,Bone,unknown,unknown,
22RV1_PROSTATE,22RV1_PROSTATE,Prostate,unknown,unknown,
OE19_OESOPHAGUS,OE19_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
SH4_SKIN,SH4_SKIN,Skin,unknown,unknown,
NCIH661_LUNG,NCIH661_LUNG,Lung,unknown,unknown,
LC1SQSF_LUNG,LC1SQSF_LUNG,Lung,unknown,unknown,
JHH1_LIVER,JHH1_LIVER,Liver,unknown,unknown,
NCIH28_PLEURA,NCIH28_PLEURA,Pleura,unknown,unknown,
5637_URINARY_TRACT,5637_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PF382_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLT3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RCHACV_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RPMI8402_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
CHLA57_BONE,CHLA57_BONE,CNS/Brain,unknown,unknown,
KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
