clid,CellLineName,Tissue,parental_identifier,subtype,ReferenceDivisionTime
SUM149PT_BREAST,SUM149PT_BREAST,Breast,unknown,unknown,
CHLA200_CENTRAL_NERVOUS_SYSTEM,CHLA200_CENTRAL_NERVOUS_SYSTEM,unknown,unknown,unknown,
NCIH2172_LUNG,NCIH2172_LUNG,Lung,unknown,unknown,
SW954_CERVIX,SW954_CERVIX,Vulva/Vagina,unknown,unknown,
MCC26_SKIN,MCC26_SKIN,Skin,unknown,unknown,
ICC4_BILIARY_TRACT,ICC4_BILIARY_TRACT,Biliary Tract,unknown,unknown,
HCSC1_CERVIX,HCSC1_CERVIX,Cervix,unknown,unknown,
TASK1_CENTRAL_NERVOUS_SYSTEM,TASK1_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
MEL285_UVEA,MEL285_UVEA,Eye,unknown,unknown,
ICC12_BILIARY_TRACT,ICC12_BILIARY_TRACT,Biliary Tract,unknown,unknown,
MP41_UVEA,MP41_UVEA,Eye,unknown,unknown,
SKN_ENDOMETRIUM,SKN_ENDOMETRIUM,Uterus,unknown,unknown,
G401_SOFT_TISSUE,G401_SOFT_TISSUE,Kidney,unknown,unknown,
BOKU_CERVIX,BOKU_CERVIX,Cervix,unknown,unknown,
SHMAC5_PROSTATE,SHMAC5_PROSTATE,Prostate,unknown,unknown,
EMTOKA_ENDOMETRIUM,EMTOKA_ENDOMETRIUM,Uterus,unknown,unknown,
DOTC24510_CERVIX,DOTC24510_CERVIX,Cervix,unknown,unknown,
HAC2_OVARY,HAC2_OVARY,unknown,unknown,unknown,
ICC8_BILIARY_TRACT,ICC8_BILIARY_TRACT,Biliary Tract,unknown,unknown,
HKGZCC_BILIARY_TRACT,HKGZCC_BILIARY_TRACT,Biliary Tract,unknown,unknown,
GP5D_LARGE_INTESTINE,GP5D_LARGE_INTESTINE,Bowel,unknown,unknown,
NP3_CENTRAL_NERVOUS_SYSTEM,NP3_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
T3M5_THYROID,T3M5_THYROID,Head and Neck,unknown,unknown,
SNU407_LARGE_INTESTINE,SNU407_LARGE_INTESTINE,Bowel,unknown,unknown,
OCIP5X_OVARY,OCIP5X_OVARY,Ovary/Fallopian Tube,unknown,unknown,
H357_UPPER_AERODIGESTIVE_TRACT,H357_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
94T778_SOFT_TISSUE,94T778_SOFT_TISSUE,Soft Tissue,unknown,unknown,
95T1000_SOFT_TISSUE,95T1000_SOFT_TISSUE,Soft Tissue,unknown,unknown,
TT1TKB_LARGE_INTESTINE,TT1TKB_LARGE_INTESTINE,Bowel,unknown,unknown,
TGBC18TKB_LARGE_INTESTINE,TGBC18TKB_LARGE_INTESTINE,Ampulla of Vater,unknown,unknown,
C80_LARGE_INTESTINE,C80_LARGE_INTESTINE,Bowel,unknown,unknown,
HDMB03_CENTRAL_NERVOUS_SYSTEM,HDMB03_CENTRAL_NERVOUS_SYSTEM,unknown,unknown,unknown,
TGW_AUTONOMIC_GANGLIA,TGW_AUTONOMIC_GANGLIA,Peripheral Nervous System,unknown,unknown,
SNU840_OVARY,SNU840_OVARY,Ovary/Fallopian Tube,unknown,unknown,
AN3CA_ENDOMETRIUM,AN3CA_ENDOMETRIUM,Uterus,unknown,unknown,
KKU100_BILIARY_TRACT,KKU100_BILIARY_TRACT,Biliary Tract,unknown,unknown,
OCIC4P_OVARY,OCIC4P_OVARY,Ovary/Fallopian Tube,unknown,unknown,
OCUG1_BILIARY_TRACT,OCUG1_BILIARY_TRACT,Biliary Tract,unknown,unknown,
UMRC7_KIDNEY,UMRC7_KIDNEY,Kidney,unknown,unknown,
UMUC7_URINARY_TRACT,UMUC7_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
SKGT2_STOMACH,SKGT2_STOMACH,Esophagus/Stomach,unknown,unknown,
TGBC52TKB_BILIARY_TRACT,TGBC52TKB_BILIARY_TRACT,Ampulla of Vater,unknown,unknown,
PLCPRF5_LIVER,PLCPRF5_LIVER,Liver,unknown,unknown,
ICC137_BILIARY_TRACT,ICC137_BILIARY_TRACT,Biliary Tract,unknown,unknown,
MB1_THYROID,MB1_THYROID,Thyroid,unknown,unknown,
SNU1544_LARGE_INTESTINE,SNU1544_LARGE_INTESTINE,Bowel,unknown,unknown,
UPCISCC072_UPPER_AERODIGESTIVE_TRACT,UPCISCC072_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
SW626_LARGE_INTESTINE,SW626_LARGE_INTESTINE,Bowel,unknown,unknown,
SNU2372_BREAST,SNU2372_BREAST,Breast,unknown,unknown,
MEL290_UVEA,MEL290_UVEA,Eye,unknown,unknown,
ICC10_BILIARY_TRACT,ICC10_BILIARY_TRACT,Biliary Tract,unknown,unknown,
YAPC_PANCREAS,YAPC_PANCREAS,Pancreas,unknown,unknown,
PMFKO14_LARGE_INTESTINE,PMFKO14_LARGE_INTESTINE,unknown,unknown,unknown,
WAOSEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,WAOSEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
TANOUE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TANOUE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
VAL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,VAL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
SCABER_URINARY_TRACT,SCABER_URINARY_TRACT,Bladder/Urinary Tract,unknown,unknown,
OACM51_OESOPHAGUS,OACM51_OESOPHAGUS,Esophagus/Stomach,unknown,unknown,
SCC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SCC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
BLUE1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BLUE1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
BL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
MOLM14_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MOLM14_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Myeloid,unknown,unknown,
G292CLONEA141B1_BONE,G292CLONEA141B1_BONE,Bone,unknown,unknown,
RCK8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,RCK8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
L82_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,L82_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Lymphoid,unknown,unknown,
JHH4_LIVER,JHH4_LIVER,Liver,unknown,unknown,
HS766T_PANCREAS,HS766T_PANCREAS,Pancreas,unknown,unknown,
SW837_LARGE_INTESTINE,SW837_LARGE_INTESTINE,Bowel,unknown,unknown,
KURAMOCHI_OVARY,KURAMOCHI_OVARY,Ovary/Fallopian Tube,unknown,unknown,
YH13_CENTRAL_NERVOUS_SYSTEM,YH13_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
HCC827_LUNG,HCC827_LUNG,Lung,unknown,unknown,
NCIH2052_PLEURA,NCIH2052_PLEURA,Pleura,unknown,unknown,
COLO679_SKIN,COLO679_SKIN,Skin,unknown,unknown,
A704_KIDNEY,A704_KIDNEY,Kidney,unknown,unknown,
NCIH596_LUNG,NCIH596_LUNG,Lung,unknown,unknown,
KP3_PANCREAS,KP3_PANCREAS,Pancreas,unknown,unknown,
SKUT1_SOFT_TISSUE,SKUT1_SOFT_TISSUE,Uterus,unknown,unknown,
42MGBA_CENTRAL_NERVOUS_SYSTEM,42MGBA_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
A375_SKIN,A375_SKIN,Skin,unknown,unknown,
FTC133_THYROID,FTC133_THYROID,Thyroid,unknown,unknown,
HT1080_SOFT_TISSUE,HT1080_SOFT_TISSUE,Soft Tissue,unknown,unknown,
GAMG_CENTRAL_NERVOUS_SYSTEM,GAMG_CENTRAL_NERVOUS_SYSTEM,CNS/Brain,unknown,unknown,
SNU1077_ENDOMETRIUM,SNU1077_ENDOMETRIUM,Uterus,unknown,unknown,
JHOC5_OVARY,JHOC5_OVARY,Ovary/Fallopian Tube,unknown,unknown,
NCIH1299_LUNG,NCIH1299_LUNG,Lung,unknown,unknown,
SNU1076_UPPER_AERODIGESTIVE_TRACT,SNU1076_UPPER_AERODIGESTIVE_TRACT,Head and Neck,unknown,unknown,
IGR37_SKIN,IGR37_SKIN,Skin,unknown,unknown,
JHH6_LIVER,JHH6_LIVER,Liver,unknown,unknown,
NCIH460_LUNG,NCIH460_LUNG,Lung,unknown,unknown,
